Date_Start_Date,Project_Size,Project_Cost
5/24/2017,0,0
5/24/2017,0,0
5/25/2017,5000,1000000
5/25/2017,5000,1000000
5/25/2017,5000,1000000
5/25/2017,5000,1000000
5/25/2017,5000,1000000
5/25/2017,5000,1000000
5/25/2017,5000,1000000
5/25/2017,0,1
5/25/2017,0,1
5/25/2017,0,1
5/25/2017,0,0
5/25/2017,0,0
5/25/2017,0,0
5/25/2017,0,0
5/25/2017,0,0
5/25/2017,1,1
5/25/2017,1,1
5/26/2017,1,1
5/26/2017,1,1
5/26/2017,1,1
5/26/2017,1,1
5/26/2017,5000,1000000
5/26/2017,5000,1000000
5/29/2017,0,0
5/29/2017,0,0
5/29/2017,0,0
5/29/2017,0,0
5/29/2017,0,0
5/31/2017,0,0
5/31/2017,0,0
5/31/2017,0,0
5/31/2017,0,0
5/31/2017,0,0
6/1/2017,0,0
6/1/2017,0,0
6/1/2017,0,0
6/1/2017,0,0
6/1/2017,0,0
6/1/2017,0,0
6/1/2017,0,0
6/1/2017,0,0
6/1/2017,0,0
6/1/2017,0,0
6/1/2017,0,0
6/1/2017,0,0
6/1/2017,0,0
6/2/2017,0,0
6/2/2017,0,0
6/2/2017,0,0
6/2/2017,0,0
6/2/2017,0,0
6/2/2017,0,0
6/2/2017,0,0
6/2/2017,0,0
6/2/2017,0,0
6/2/2017,0,0
6/2/2017,0,0
6/2/2017,0,0
6/2/2017,0,0
6/2/2017,0,0
6/4/2017,56000,13623978
6/4/2017,56000,13623978
6/4/2017,56000,13623978
6/4/2017,56000,13623978
6/4/2017,56000,13623978
6/4/2017,1,1
6/5/2017,16000,350000
6/5/2017,16000,350000
6/5/2017,16000,350000
6/5/2017,16000,350000
6/5/2017,1,1
6/5/2017,1,1
6/5/2017,1,1
6/5/2017,1,1
6/5/2017,1,1
6/5/2017,1,1
6/5/2017,1,1
6/5/2017,1,1
6/5/2017,1,1
6/5/2017,0,0
6/5/2017,0,0
6/5/2017,0,0
6/7/2017,1,1
6/7/2017,0,0
6/7/2017,0,0
6/7/2017,0,0
6/7/2017,0,0
6/7/2017,0,0
6/7/2017,0,1
6/7/2017,0,1
6/8/2017,75695,11500000
6/8/2017,75695,11500000
6/8/2017,75695,11500000
6/8/2017,75695,11500000
6/8/2017,75695,11500000
6/8/2017,75695,11500000
6/8/2017,75695,11500000
6/8/2017,75695,11500000
6/8/2017,75695,11500000
6/8/2017,0,0
6/8/2017,0,0
6/8/2017,1,1
6/8/2017,1,1
6/8/2017,1,1
6/9/2017,0,0
6/9/2017,0,0
6/9/2017,0,0
6/9/2017,0,0
6/9/2017,0,0
6/9/2017,0,0
6/9/2017,1,1
6/9/2017,1,1
6/9/2017,1,1
6/9/2017,1,1
6/9/2017,1,1
6/12/2017,0,0
6/12/2017,0,0
6/12/2017,0,0
6/12/2017,0,0
6/12/2017,0,0
6/12/2017,0,0
6/12/2017,0,0
6/12/2017,135000,0
6/14/2017,0,0
6/14/2017,1,1
6/14/2017,0,0
6/14/2017,0,0
6/14/2017,0,0
6/14/2017,0,0
6/14/2017,0,0
6/14/2017,0,0
6/14/2017,0,0
6/14/2017,0,0
6/14/2017,0,0
6/14/2017,0,0
6/14/2017,0,0
6/14/2017,0,0
6/15/2017,0,0
6/15/2017,0,0
6/15/2017,60000,15000000
6/16/2017,0,0
6/16/2017,0,0
6/16/2017,0,0
6/16/2017,0,0
6/19/2017,0,1
6/19/2017,0,1
6/19/2017,0,1
6/19/2017,0,0
6/19/2017,0,0
6/19/2017,0,0
6/19/2017,0,0
6/19/2017,1,1
6/20/2017,0,1
6/20/2017,0,1
6/21/2017,0,0
6/21/2017,0,0
6/22/2017,0,0
6/22/2017,0,0
6/22/2017,0,0
6/22/2017,0,0
6/22/2017,0,0
6/22/2017,0,0
6/22/2017,0,0
6/22/2017,0,0
6/22/2017,0,0
6/22/2017,0,0
6/22/2017,8736,0
6/22/2017,8736,0
6/22/2017,8736,0
6/22/2017,8736,0
6/22/2017,0,0
6/22/2017,0,0
6/22/2017,0,0
6/22/2017,8736,0
6/22/2017,0,0
6/22/2017,0,0
6/23/2017,0,0
6/26/2017,0,0
6/26/2017,0,0
6/26/2017,0,0
6/26/2017,0,0
6/26/2017,27800,6600000
6/26/2017,27800,6600000
6/27/2017,0,0
6/27/2017,0,0
6/27/2017,0,0
6/27/2017,0,0
6/27/2017,0,0
6/27/2017,0,0
6/27/2017,0,0
6/27/2017,0,0
6/27/2017,150000,48000000
6/27/2017,150000,48000000
6/27/2017,150000,48000000
6/27/2017,150000,48000000
6/27/2017,150000,48000000
6/27/2017,0,0
6/27/2017,0,0
6/27/2017,0,0
6/27/2017,0,0
6/27/2017,0,0
6/28/2017,0,0
6/28/2017,1,1
6/28/2017,1,1
6/28/2017,1,1
6/28/2017,0,0
6/28/2017,0,0
6/28/2017,0,0
6/28/2017,0,0
6/28/2017,0,0
6/28/2017,0,0
6/28/2017,0,0
6/28/2017,0,0
6/28/2017,0,0
6/28/2017,0,0
6/28/2017,0,0
6/28/2017,0,0
6/28/2017,0,0
6/28/2017,0,0
6/28/2017,0,0
6/28/2017,0,0
6/28/2017,0,0
6/28/2017,0,0
6/28/2017,0,0
6/28/2017,0,0
6/28/2017,0,0
6/28/2017,0,0
6/28/2017,0,0
6/28/2017,0,0
6/29/2017,8515,2500000
6/29/2017,8515,2500000
6/29/2017,8515,2500000
6/29/2017,8515,2500000
6/29/2017,0,0
6/29/2017,0,0
6/29/2017,0,0
6/29/2017,0,0
6/29/2017,0,0
6/29/2017,0,0
6/29/2017,0,0
6/29/2017,0,0
6/29/2017,0,0
6/29/2017,0,0
6/30/2017,1,1
6/30/2017,1,1
6/30/2017,1,1
6/30/2017,1,1
6/30/2017,1,1
6/30/2017,1,1
6/30/2017,1,1
7/5/2017,0,0
7/5/2017,0,0
7/5/2017,0,0
7/5/2017,0,0
7/5/2017,0,0
7/5/2017,0,0
7/5/2017,0,0
7/5/2017,0,0
7/5/2017,0,0
7/5/2017,0,0
7/5/2017,0,0
7/5/2017,0,0
7/5/2017,0,0
7/5/2017,0,0
7/5/2017,0,0
7/5/2017,0,0
7/5/2017,0,0
7/5/2017,0,0
7/5/2017,0,0
7/5/2017,0,0
7/5/2017,0,0
7/5/2017,1,1
7/5/2017,1,1
7/6/2017,1,1
7/6/2017,1,1
7/6/2017,1,1
7/6/2017,1,1
7/6/2017,1,1
7/7/2017,0,0
7/7/2017,1,1
7/7/2017,1,1
7/7/2017,1,1
7/7/2017,1,1
7/7/2017,1,1
7/7/2017,1,1
7/7/2017,1,1
7/11/2017,0,0
7/11/2017,0,0
7/11/2017,0,0
7/11/2017,0,0
7/11/2017,0,0
7/11/2017,1,1
7/11/2017,1,1
7/11/2017,0,0
7/11/2017,1,1
7/11/2017,0,0
7/11/2017,1,1
7/11/2017,0,0
7/11/2017,1,1
7/11/2017,0,0
7/11/2017,0,0
7/11/2017,0,0
7/11/2017,1,1
7/11/2017,0,0
7/11/2017,0,0
7/11/2017,0,0
7/11/2017,0,0
7/11/2017,0,0
7/11/2017,0,0
7/12/2017,0,0
7/12/2017,0,0
7/12/2017,0,0
7/12/2017,0,0
7/12/2017,0,0
7/12/2017,0,0
7/12/2017,0,0
7/12/2017,0,0
7/12/2017,0,0
7/12/2017,0,0
7/12/2017,0,0
7/12/2017,0,0
7/12/2017,0,0
7/12/2017,0,0
7/12/2017,0,0
7/13/2017,0,0
7/13/2017,0,0
7/13/2017,0,0
7/13/2017,0,0
7/13/2017,0,0
7/13/2017,90000,27000
7/13/2017,90000,27000
7/13/2017,100,420000
7/13/2017,100,420000
7/14/2017,0,0
7/14/2017,0,0
7/14/2017,0,0
7/14/2017,0,0
7/14/2017,0,0
7/14/2017,0,0
7/14/2017,0,0
7/14/2017,0,0
7/14/2017,0,1
7/17/2017,0,0
7/17/2017,0,0
7/17/2017,0,0
7/17/2017,0,0
7/17/2017,0,0
7/17/2017,0,0
7/17/2017,0,0
7/17/2017,0,0
7/17/2017,0,0
7/17/2017,0,0
7/17/2017,0,0
7/17/2017,0,0
7/17/2017,0,0
7/17/2017,0,0
7/17/2017,0,0
7/17/2017,0,0
7/17/2017,1,1
7/17/2017,1,1
7/17/2017,1,1
7/17/2017,1,1
7/17/2017,1,1
7/17/2017,1,1
7/18/2017,0,0
7/18/2017,0,0
7/18/2017,0,0
7/18/2017,0,0
7/18/2017,0,0
7/18/2017,0,0
7/18/2017,0,0
7/20/2017,0,0
7/20/2017,0,0
7/20/2017,0,0
7/20/2017,0,0
7/20/2017,34707,18000000
7/20/2017,34707,18000000
7/20/2017,34707,18000000
7/20/2017,34707,18000000
7/20/2017,34707,18000000
7/21/2017,0,0
7/21/2017,0,0
7/21/2017,0,0
7/24/2017,1,1
7/24/2017,1,1
7/24/2017,1,1
7/24/2017,1,1
7/24/2017,0,0
7/24/2017,0,0
7/24/2017,0,0
7/24/2017,0,0
7/24/2017,0,0
7/24/2017,0,0
7/24/2017,0,0
7/24/2017,0,0
7/24/2017,0,0
7/24/2017,0,0
7/24/2017,0,0
7/24/2017,0,0
7/24/2017,0,0
7/24/2017,0,0
7/25/2017,0,0
7/25/2017,0,0
7/25/2017,0,0
7/25/2017,0,0
7/25/2017,0,0
7/25/2017,0,0
7/25/2017,0,0
7/25/2017,0,0
7/25/2017,0,0
7/25/2017,0,0
7/26/2017,0,0
7/26/2017,0,0
7/26/2017,0,0
7/26/2017,0,0
7/26/2017,0,0
7/26/2017,0,0
7/26/2017,0,0
7/26/2017,0,0
7/26/2017,0,0
7/26/2017,0,0
7/26/2017,0,0
7/28/2017,1350,1
7/31/2017,0,0
7/31/2017,0,0
7/31/2017,0,0
7/31/2017,0,0
7/31/2017,0,0
7/31/2017,0,0
7/31/2017,0,0
7/31/2017,0,0
8/1/2017,9324,700000
8/2/2017,0,0
8/2/2017,0,0
8/2/2017,0,0
8/2/2017,13500,0
8/2/2017,13500,0
8/2/2017,13500,0
8/2/2017,13500,0
8/2/2017,13500,0
8/2/2017,13500,0
8/2/2017,0,0
8/2/2017,0,0
8/2/2017,0,0
8/2/2017,0,0
8/2/2017,0,0
8/2/2017,0,0
8/2/2017,0,0
8/2/2017,0,0
8/2/2017,0,0
8/2/2017,0,0
8/2/2017,0,0
8/2/2017,0,0
8/3/2017,5000,1000000
8/3/2017,5000,1000000
8/3/2017,5000,1000000
8/3/2017,5000,1000000
8/3/2017,5000,1000000
8/3/2017,5000,1000000
8/3/2017,0,0
8/3/2017,0,0
8/3/2017,0,0
8/3/2017,0,0
8/3/2017,0,0
8/3/2017,0,0
8/3/2017,0,0
8/3/2017,0,0
8/3/2017,0,0
8/3/2017,0,0
8/3/2017,0,0
8/3/2017,0,0
8/4/2017,0,0
8/4/2017,0,0
8/4/2017,0,0
8/4/2017,0,0
8/4/2017,0,0
8/4/2017,0,0
8/4/2017,0,0
8/4/2017,0,0
8/4/2017,0,0
8/4/2017,0,0
8/4/2017,0,0
8/4/2017,0,0
8/4/2017,0,0
8/4/2017,0,0
8/4/2017,0,0
8/4/2017,0,0
8/4/2017,0,0
8/4/2017,0,0
8/4/2017,0,0
8/4/2017,0,0
8/4/2017,0,0
8/7/2017,0,0
8/7/2017,0,0
8/7/2017,0,0
8/7/2017,0,0
8/7/2017,0,0
8/7/2017,0,0
8/8/2017,0,0
8/8/2017,0,0
8/8/2017,0,0
8/8/2017,0,0
8/8/2017,0,0
8/8/2017,0,0
8/8/2017,0,0
8/8/2017,0,0
8/8/2017,0,0
8/8/2017,0,0
8/8/2017,0,0
8/8/2017,0,0
8/8/2017,0,0
8/8/2017,0,0
8/8/2017,0,0
8/8/2017,0,0
8/8/2017,0,0
8/8/2017,0,0
8/8/2017,0,0
8/8/2017,1,1
8/8/2017,1,1
8/8/2017,1,1
8/9/2017,0,0
8/9/2017,0,0
8/9/2017,0,0
8/9/2017,1,1
8/9/2017,1,1
8/9/2017,1,1
8/9/2017,1,1
8/9/2017,1,1
8/9/2017,0,0
8/9/2017,0,0
8/9/2017,0,0
8/9/2017,0,0
8/9/2017,1,1
8/9/2017,1,1
8/9/2017,1,1
8/9/2017,1,1
8/9/2017,1,1
