Date_Start_Date,Project_Cost,Project_Size
12/29/2017,1,1
12/29/2017,1,1
12/29/2017,1,1
1/2/2018,1,1
1/2/2018,1,1
1/4/2018,1,1
1/4/2018,1,1
1/4/2018,1,1
1/4/2018,1,1
1/4/2018,1,1
1/4/2018,1,1
1/4/2018,1,1
1/4/2018,1,1
1/4/2018,1,1
1/4/2018,1,1
1/5/2018,1,500
1/8/2018,1,1
1/8/2018,1,1
1/8/2018,1,1
1/8/2018,1,1
1/8/2018,1,1
1/8/2018,1,1
1/8/2018,1,1
1/8/2018,1,1
1/8/2018,1,1
1/8/2018,1,1
1/8/2018,1,1
1/8/2018,1,1
1/8/2018,1,1
1/8/2018,1,1
1/8/2018,1,1
1/8/2018,1,1
1/8/2018,1,1
1/8/2018,1,1
1/9/2018,1,1
1/9/2018,1,1
1/9/2018,1,1
1/9/2018,1,1
1/9/2018,1,1
1/9/2018,1,1
1/9/2018,1,1
1/9/2018,1,1
1/9/2018,1,1
1/9/2018,1,1
1/9/2018,1,1
1/9/2018,1,1
1/9/2018,1,1
1/9/2018,1,1
1/9/2018,1,1
1/9/2018,1,1
1/9/2018,1,1
1/11/2018,1,1
1/11/2018,1,1
1/11/2018,1,1
1/11/2018,1,1
1/11/2018,1,1
1/11/2018,1,1
1/13/2018,1,1
1/13/2018,1,1
1/13/2018,1,1
1/16/2018,1,1
1/16/2018,1,1
1/16/2018,1,1
1/16/2018,1,1
1/16/2018,1,1
1/16/2018,1,1
1/16/2018,1,1
1/16/2018,1,1
1/16/2018,1,1
1/16/2018,1,1
1/16/2018,1,1
1/16/2018,1,1
1/16/2018,1,1
1/16/2018,1,1
1/16/2018,1,1
1/16/2018,1,1
1/16/2018,1,1
1/16/2018,1,1
1/16/2018,1,1
1/16/2018,1,1
1/16/2018,1,1
1/16/2018,1,1
1/16/2018,1,1
1/17/2018,1000000,5000
1/17/2018,1000000,5000
1/17/2018,1000000,5000
1/17/2018,1000000,5000
1/17/2018,1,1
1/17/2018,1,1
1/18/2018,1,1
1/18/2018,1,1
1/18/2018,1,1
1/18/2018,1,1
1/18/2018,1,1
1/18/2018,1,1
1/18/2018,1,1
1/19/2018,1,1
1/19/2018,1,1
1/19/2018,1,1
