Date_Last_Change,Project_Cost,Project_Size
2017-11-28 10:05:27,1,1
2017-11-28 10:05:27,1,1
2017-07-11 11:23:13,0,0
2017-07-11 11:23:13,0,0
2017-07-11 11:23:13,0,0
2017-07-11 11:23:13,0,0
2017-07-11 11:23:13,0,0
2017-07-11 11:23:13,0,0
2017-07-11 11:23:13,0,0
2017-07-11 11:23:13,0,0
2017-07-11 11:23:13,0,0
2017-09-01 13:19:50,0,0
2018-02-19 14:15:19,0,0
2018-02-19 14:15:19,0,0
2018-02-19 14:15:19,0,0
2017-09-01 13:19:50,0,0
2018-02-19 14:15:19,0,0
2017-09-01 13:19:50,0,0
2017-09-01 13:19:50,0,0
2017-09-01 13:19:50,0,0
2017-10-25 08:32:29,0,0
2017-10-25 08:32:29,0,0
2017-10-25 08:32:29,0,0
2017-10-25 08:32:29,0,0
2017-10-25 08:32:29,0,0
2018-04-11 15:55:43,1,1
2018-04-11 15:55:43,1,1
2018-04-11 15:55:43,1,1
2020-01-13 21:11:37,1000000,5000
2020-01-13 21:11:37,1000000,5000
2020-01-13 21:11:37,1000000,5000
2020-01-13 21:11:37,1000000,5000
2020-01-13 21:11:37,1000000,5000
2020-01-13 21:11:37,1000000,5000
2020-01-13 21:11:37,1000000,5000
2018-05-17 07:28:05,1,1
2018-05-17 07:28:05,1,1
2018-05-17 07:28:05,1,1
2018-05-17 07:28:05,1,1
2018-05-17 07:28:05,1,1
2018-05-17 07:28:05,1,1
2017-12-11 09:30:44,1,1
2017-12-11 09:30:44,1,1
2017-12-11 09:30:44,1,1
2017-12-11 09:30:44,1,1
2017-12-11 09:30:44,1,1
2017-12-11 09:30:44,1,1
2017-12-11 09:30:44,1,1
2017-12-11 09:30:44,1,1
2017-12-11 09:30:44,1,1
2017-09-21 14:10:08,100000000,1000000
2017-10-13 08:31:25,0,0
2017-10-13 08:31:25,0,0
2017-10-13 08:31:25,0,0
2017-10-13 08:31:25,0,0
2017-09-13 09:38:03,0,0
2017-09-13 09:38:03,0,0
2018-05-14 18:13:34,0,50
2017-06-04 13:10:20,0,0
2017-06-04 13:10:20,0,0
2018-02-27 12:43:52,0,0
2018-02-27 12:43:52,0,0
2018-02-27 12:43:52,0,0
2019-12-05 20:32:44,0,0
2018-02-27 12:43:52,0,0
2019-12-05 20:32:44,0,0
2019-12-05 20:32:44,0,0
2019-12-05 20:32:44,0,0
2019-12-05 20:32:44,0,0
2019-12-05 20:32:44,0,0
2018-02-27 12:43:52,0,0
2018-02-27 12:43:52,0,0
2020-03-16 13:52:39,1000000,5000
2020-03-16 13:52:39,1000000,5000
2020-03-16 13:52:39,1000000,5000
2020-03-16 13:52:39,1000000,5000
2020-03-16 13:52:39,1000000,5000
2020-03-16 13:52:39,1000000,5000
2020-03-16 13:52:39,1000000,5000
2019-04-02 09:22:05,1,0
2019-04-02 09:22:05,1,0
2019-04-02 09:22:05,1,0
2017-11-29 15:48:16,0,0
2017-11-29 15:48:16,0,0
2017-11-29 15:48:16,0,0
2017-11-01 12:23:20,0,0
2017-11-01 12:23:20,0,0
2017-07-31 15:38:52,1,1
2017-07-31 15:38:52,1,1
2017-07-31 15:35:04,1,1
2017-07-31 15:35:04,1,1
2017-07-31 15:35:04,1,1
2017-07-31 15:35:04,1,1
2020-02-19 00:13:04,1000000,5000
2020-02-27 17:33:48,1000000,5000
2017-06-13 16:53:23,0,0
2017-06-13 16:53:23,0,0
2017-06-13 16:53:23,0,0
2017-06-13 16:53:23,0,0
2017-06-13 16:53:23,0,0
2017-07-31 15:15:44,0,0
2017-07-31 15:15:44,0,0
2017-07-31 15:15:44,0,0
2017-07-31 15:15:44,0,0
2018-04-13 15:57:25,0,0
2017-11-30 15:38:24,0,0
2017-06-29 15:57:51,0,0
2017-06-29 15:57:51,0,0
2017-06-29 15:57:51,0,0
2017-06-29 15:57:51,0,0
2017-06-29 15:57:51,0,0
2017-06-01 14:10:28,0,0
2017-06-01 14:10:28,0,0
2017-06-01 14:10:28,0,0
2017-06-01 14:10:28,0,0
2017-07-28 14:11:20,0,0
2017-07-28 14:11:20,0,0
2017-07-28 14:11:20,0,0
2017-08-29 10:05:37,0,0
2017-08-29 10:05:37,0,0
2017-08-29 10:05:37,0,0
2017-08-29 10:05:37,0,0
2018-02-08 16:04:18,0,0
2018-02-08 16:04:18,0,0
2018-02-08 16:04:18,0,0
2018-02-08 16:04:18,0,0
2017-09-25 10:01:06,0,0
2017-09-25 10:01:06,0,0
2017-09-25 10:01:06,0,0
2017-09-25 10:01:06,0,0
2017-09-25 10:01:06,0,0
2019-08-08 04:07:39,0,0
2017-10-26 12:14:07,13623978,56000
2017-10-26 12:14:07,13623978,56000
2017-10-26 12:14:07,13623978,56000
2017-10-26 12:14:07,13623978,56000
2017-10-26 12:14:07,13623978,56000
2017-06-04 14:07:01,1,1
2017-06-06 13:33:10,350000,16000
2017-06-06 13:33:10,350000,16000
2017-06-06 13:33:10,350000,16000
2017-06-06 13:33:10,350000,16000
2018-04-27 11:16:21,1,1
2018-04-27 11:16:21,1,1
2018-04-27 11:16:21,1,1
2018-04-27 11:16:21,1,1
2018-04-27 11:16:21,1,1
2018-04-27 11:16:21,1,1
2018-04-27 11:16:21,1,1
2018-04-27 11:16:21,1,1
2018-04-27 11:16:21,1,1
2017-09-12 09:38:19,0,0
2017-09-12 09:38:19,0,0
2017-09-12 09:38:19,0,0
2019-05-31 00:33:20,1,1
2017-12-01 10:57:05,0,0
2017-12-01 10:57:05,0,0
2017-12-01 10:57:05,0,0
2017-12-01 10:57:05,0,0
2017-07-07 07:36:18,0,0
2018-07-23 21:55:05,1,0
2018-07-23 21:55:05,1,0
2019-06-13 20:34:24,11500000,75695
2019-06-13 20:34:24,11500000,75695
2019-06-13 20:34:24,11500000,75695
2019-06-13 20:34:24,11500000,75695
2019-06-13 20:34:24,11500000,75695
2019-06-13 20:34:24,11500000,75695
2019-06-13 20:34:24,11500000,75695
2019-06-13 20:34:24,11500000,75695
2019-06-13 20:34:24,11500000,75695
2017-08-23 16:24:50,0,0
2017-08-23 16:24:50,0,0
2017-12-20 22:34:39,1,1
2017-12-20 22:34:39,1,1
2017-12-20 22:34:39,1,1
2017-11-13 08:18:09,0,0
2017-10-04 19:39:42,0,0
2017-10-04 19:39:42,0,0
2017-10-04 19:39:42,0,0
